handle,fieldType,name,visible,plainDescription,media,mediaAltText,ribbon,brand,price,strikethroughPrice,cost,inventory,preOrderEnabled,preOrderMessage,preOrderLimit,sku,barcode,weight,baseUnit,baseUnitMeasurement,totalUnits,totalUnitsMeasurement,productOptionName1,productOptionType1,productOptionChoices1,productOptionName2,productOptionType2,productOptionChoices2,productOptionName3,productOptionType3,productOptionChoices3,productOptionName4,productOptionType4,productOptionChoices4,productOptionName5,productOptionType5,productOptionChoices5,productOptionName6,productOptionType6,productOptionChoices6,modifierName1,modifierType1,modifierCharLimit1,modifierMandatory1,modifierDescription1,modifierName2,modifierType2,modifierCharLimit2,modifierMandatory2,modifierDescription2,modifierName3,modifierType3,modifierCharLimit3,modifierMandatory3,modifierDescription3,modifierName4,modifierType4,modifierCharLimit4,modifierMandatory4,modifierDescription4,modifierName5,modifierType5,modifierCharLimit5,modifierMandatory5,modifierDescription5,modifierName6,modifierType6,modifierCharLimit6,modifierMandatory6,modifierDescription6,modifierName7,modifierType7,modifierCharLimit7,modifierMandatory7,modifierDescription7,modifierName8,modifierType8,modifierCharLimit8,modifierMandatory8,modifierDescription8,modifierName9,modifierType9,modifierCharLimit9,modifierMandatory9,modifierDescription9,modifierName10,modifierType10,modifierCharLimit10,modifierMandatory10,modifierDescription10
Product_94db40f6-e610-4123-96f9-a7c136da324c,PRODUCT,Bloopiez,TRUE,"<p><span style=""font-weight: 700"">Genetics</span></p><ul><li><p><em>Blue Nerdz  </em></p></li><li><p><em>Melonheadz</em></p></li></ul><p><em>​</em></p><p><span style=""font-weight: 700"">Taste / Aroma</span></p><ul><li><p>Blueberry</p></li><li><p>Grape</p></li><li><p>Berry</p></li></ul><p><span style=""font-weight: 700"">Effects</span></p><ul><li><p>Creative</p></li><li><p>Happy</p></li><li><p>Focused</p></li></ul>",,,,Hybrid (Indica Dominant),,,,,,,,,,,,,,,Weight,TEXT_CHOICES,3.5g;7g;14g;28g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_94db40f6-e610-4123-96f9-a7c136da324c,VARIANT,,TRUE,,,,,,25,30,$7 ,6,FALSE,,,BLOOPIEZ-3.5G,,,,,,,Weight,TEXT_CHOICES,3.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_94db40f6-e610-4123-96f9-a7c136da324c,VARIANT,,TRUE,,,,,,40,50,$13 ,4,FALSE,,,BLOOPIEZ-7G,,,,,,,Weight,TEXT_CHOICES,7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_94db40f6-e610-4123-96f9-a7c136da324c,VARIANT,,TRUE,,,,,,75,95,$25 ,5,FALSE,,,BLOOPIEZ-14G,,,,,,,Weight,TEXT_CHOICES,14g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_94db40f6-e610-4123-96f9-a7c136da324c,VARIANT,,TRUE,,,,,,120,150,$50 ,23,FALSE,,,BLOOPIEZ-28G,,,,,,,Weight,TEXT_CHOICES,28g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_94db40f6-e610-4123-96f9-a7c136da324c,MEDIA,,,,076a10_2b644cd1e4c54a1c8f25118755b7296c~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_94db40f6-e610-4123-96f9-a7c136da324c,MEDIA,,,,076a10_7e0d8c080a1f418c8cc927787bc70efe~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_f7a89499-f024-4147-b17d-f6c9ee4472ac,PRODUCT,Zoap,TRUE,"<p><span style=""font-weight: 700"">Genetics</span></p><ul><li><p><em>Pink Guava</em></p></li><li><p><em>Rainbow&nbsp; Sherbet </em></p></li></ul><p><span style=""font-weight: 700"">Taste / Aroma</span></p><ul><li><p>Apple</p></li><li><p>Chemical</p></li><li><p>Apricot</p></li></ul><p><span style=""font-weight: 700"">Effects</span></p><ul><li><p>Giggly</p></li><li><p>Relaxed </p></li><li><p>Happy</p></li></ul>",,,,Hybrid (Indica Dominant),,,,,,,,,,,,,,,Weight,TEXT_CHOICES,3.5g;7g;14g;28g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_f7a89499-f024-4147-b17d-f6c9ee4472ac,VARIANT,,TRUE,,,,,,30,,$7 ,4,FALSE,,,ZOAP-3.5,,,,,,,Weight,TEXT_CHOICES,3.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_f7a89499-f024-4147-b17d-f6c9ee4472ac,VARIANT,,TRUE,,,,,,50,,$13 ,3,FALSE,,,ZOAP-7G,,,,,,,Weight,TEXT_CHOICES,7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_f7a89499-f024-4147-b17d-f6c9ee4472ac,VARIANT,,TRUE,,,,,,95,,$25 ,4,FALSE,,,ZOAP-14G,,,,,,,Weight,TEXT_CHOICES,14g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_f7a89499-f024-4147-b17d-f6c9ee4472ac,VARIANT,,TRUE,,,,,,150,,$50 ,3,FALSE,,,ZOAP-28G,,,,,,,Weight,TEXT_CHOICES,28g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_f7a89499-f024-4147-b17d-f6c9ee4472ac,MEDIA,,,,076a10_9145fd88162e41ce89e8b6372465a4f8~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_b4ef10f2-3ed0-4257-9dd9-d6b43db2cac7,PRODUCT,Dosi Pop,TRUE,"<p><span style=""font-weight: 700"">Genetics</span></p><ul><li><p>Dosidos</p></li><li><p>Zkittlez</p></li></ul><p><span style=""font-weight: 700"">Taste / Aroma</span></p><ul><li><p>Blueberry</p></li><li><p>Diesel</p></li><li><p>Berry</p></li></ul><p><span style=""font-weight: 700"">Effects</span></p><ul><li><p>Relaxed</p></li><li><p>Sleepy</p></li><li><p>Creative</p></li></ul>",,,,Hybrid (Indica Dominant),,,,,,,,,,,,,,,Weight,TEXT_CHOICES,3.5g;7g;14g;28g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_b4ef10f2-3ed0-4257-9dd9-d6b43db2cac7,VARIANT,,TRUE,,,,,,30,,$7 ,8,FALSE,,,DOSI POP-3.5G,,,,,,,Weight,TEXT_CHOICES,3.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_b4ef10f2-3ed0-4257-9dd9-d6b43db2cac7,VARIANT,,TRUE,,,,,,50,,$13 ,3,FALSE,,,DOSI POP-7G,,,,,,,Weight,TEXT_CHOICES,7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_b4ef10f2-3ed0-4257-9dd9-d6b43db2cac7,VARIANT,,TRUE,,,,,,95,,$25 ,2,FALSE,,,DOSI POP-14G,,,,,,,Weight,TEXT_CHOICES,14g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_b4ef10f2-3ed0-4257-9dd9-d6b43db2cac7,VARIANT,,TRUE,,,,,,150,,$50 ,15,FALSE,,,DOSI POP-28G,28G,,,,,,Weight,TEXT_CHOICES,28g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_b4ef10f2-3ed0-4257-9dd9-d6b43db2cac7,MEDIA,,,,076a10_29064e745f6546d48899055331eaecfa~mv2.webp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_920d1774-0852-42f8-a18e-74cdc7540e77,PRODUCT,Mai Tai,TRUE,"<p><span style=""font-weight: 700"">Genetics</span></p><ul><li><p>Maui Waui</p></li><li><p>Tutti Frutti</p></li></ul><p><span style=""font-weight: 700"">Taste / Aroma</span></p><ul><li><p>Tree Fruit,</p></li><li><p>Tropical</p></li><li><p>Mango</p></li></ul><p><span style=""font-weight: 700"">Effects</span></p><ul><li><p>Relaxed</p></li><li><p>Tingly</p></li><li><p>Euphoric</p></li></ul>",,,,Hybrid (Indica Dominant),,,,,,,,,,,,,,,Weight,TEXT_CHOICES,3.5g;7g;14g;28g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_920d1774-0852-42f8-a18e-74cdc7540e77,VARIANT,,TRUE,,,,,,25,30,$7 ,2,FALSE,,,MAI TAI-3.5G,,,,,,,Weight,TEXT_CHOICES,3.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_920d1774-0852-42f8-a18e-74cdc7540e77,VARIANT,,TRUE,,,,,,40,50,$13 ,3,FALSE,,,MAI TAI-7G,,,,,,,Weight,TEXT_CHOICES,7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_920d1774-0852-42f8-a18e-74cdc7540e77,VARIANT,,TRUE,,,,,,75,95,$25 ,3,FALSE,,,MAI TAI-14G,,,,,,,Weight,TEXT_CHOICES,14g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_920d1774-0852-42f8-a18e-74cdc7540e77,VARIANT,,TRUE,,,,,,120,150,$50 ,1,FALSE,,,MAI TAI-28G,,,,,,,Weight,TEXT_CHOICES,28g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_920d1774-0852-42f8-a18e-74cdc7540e77,MEDIA,,,,076a10_516c30b575514946b3bc7f010314cad3~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_c9bba29f-fe8d-4daa-bf5c-d7069b7d184c,PRODUCT,Blue Mints,TRUE,"<p><span style=""font-weight: 700"">Genetics</span></p><ul><li><p>Blue Cookies </p></li><li><p>Koolato</p></li></ul><p><span style=""font-weight: 700"">Taste / Aroma</span></p><ul><li><p>Blueberry</p></li><li><p>Mint</p></li><li><p>Sweet</p></li></ul><p><span style=""font-weight: 700"">Effects</span></p><ul><li><p>Uplifted</p></li><li><p>Focused</p></li><li><p>Euphoric</p></li></ul>",,,,Hybrid (50/50),,,,,,,,,,,,,,,Weight,TEXT_CHOICES,3.5g;7g;14g;28g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_c9bba29f-fe8d-4daa-bf5c-d7069b7d184c,VARIANT,,TRUE,,,,,,25,30,$7 ,3,FALSE,,,BLUE MINTS-3.5G,,,,,,,Weight,TEXT_CHOICES,3.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_c9bba29f-fe8d-4daa-bf5c-d7069b7d184c,VARIANT,,TRUE,,,,,,40,50,$13 ,0,FALSE,,,BLUE MINTS-7G,,,,,,,Weight,TEXT_CHOICES,7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_c9bba29f-fe8d-4daa-bf5c-d7069b7d184c,VARIANT,,TRUE,,,,,,75,95,$25 ,0,FALSE,,,BLUE MINTS-14G,,,,,,,Weight,TEXT_CHOICES,14g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_c9bba29f-fe8d-4daa-bf5c-d7069b7d184c,VARIANT,,TRUE,,,,,,120,150,$50 ,1,FALSE,,,BLUE MINTS-28G,,,,,,,Weight,TEXT_CHOICES,28g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_c9bba29f-fe8d-4daa-bf5c-d7069b7d184c,MEDIA,,,,076a10_b618e31e15664c458f2f3a02a2c1a13e~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1c0a646d-215b-4898-bca5-27e55c91b6ea,PRODUCT,Trop Cherry,TRUE,"<p><span style=""font-weight: 700"">Genetics</span></p><ul><li><p>Tropicana Cookies</p></li><li><p>Cherry Cookies</p></li></ul><p><span style=""font-weight: 700"">Taste / Aroma</span></p><ul><li><p>Tree Fruit</p></li><li><p>Tropical</p></li><li><p>Berry</p></li></ul><p><span style=""font-weight: 700"">Effects</span></p><ul><li><p>Focused</p></li><li><p>Uplifted</p></li><li><p>Euphoric</p></li></ul>",,,,Hybrid (Sativa Dominant),,,,,,,,,,,,,,,Weight,TEXT_CHOICES,3.5g;7g;14g;28g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1c0a646d-215b-4898-bca5-27e55c91b6ea,VARIANT,,TRUE,,,,,,45,,$9 ,6,FALSE,,,TOP-TROP CHERRY-3.5G,,,,,,,Weight,TEXT_CHOICES,3.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1c0a646d-215b-4898-bca5-27e55c91b6ea,VARIANT,,TRUE,,,,,,80,,$17 ,5,FALSE,,,TOP-TROP CHERRY-7G,,,,,,,Weight,TEXT_CHOICES,7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1c0a646d-215b-4898-bca5-27e55c91b6ea,VARIANT,,TRUE,,,,,,140,,$33 ,3,FALSE,,,TOP-TROP CHERRY-14G,,,,,,,Weight,TEXT_CHOICES,14g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1c0a646d-215b-4898-bca5-27e55c91b6ea,VARIANT,,TRUE,,,,,,250,,$65 ,3,FALSE,,,TOP-TROP CHERRY-28G,,,,,,,Weight,TEXT_CHOICES,28g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1c0a646d-215b-4898-bca5-27e55c91b6ea,MEDIA,,,,52250a_adb078e454d34e95ba4f2ae1bf52cd2f~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1c0a646d-215b-4898-bca5-27e55c91b6ea,MEDIA,,,,076a10_ee23986580b649d4894c2f6f4b6bcb59~mv2.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_574c987a-22b4-42de-b349-67a156fc7aa7,PRODUCT,Mega-z,TRUE,"<p><span style=""font-weight: 700"">Genetics</span></p><ul><li><p>Zkittlez</p></li><li><p>The Original Z</p></li></ul><p><span style=""font-weight: 700"">Taste / Aroma</span></p><ul><li><p>Grape</p></li><li><p>Diesel</p></li><li><p>Berry</p></li></ul><p><span style=""font-weight: 700"">Effects</span></p><ul><li><p>Energetic</p></li><li><p>Euphoric</p></li><li><p>Happy</p></li></ul>",,,,Hybrid (Sativa Dominant),,,,,,,,,,,,,,,Weight,TEXT_CHOICES,3.5g;7g;14g;28g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_574c987a-22b4-42de-b349-67a156fc7aa7,VARIANT,,TRUE,,,,,,35,45,$9 ,3,FALSE,,,MEGA-Z-3.5G,,,,,,,Weight,TEXT_CHOICES,3.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_574c987a-22b4-42de-b349-67a156fc7aa7,VARIANT,,TRUE,,,,,,65,80,$17 ,1,FALSE,,,MEGA-Z-7G,,,,,,,Weight,TEXT_CHOICES,7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_574c987a-22b4-42de-b349-67a156fc7aa7,VARIANT,,TRUE,,,,,,120,140,$33 ,1,FALSE,,,MEGA-Z-14G,,,,,,,Weight,TEXT_CHOICES,14g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_574c987a-22b4-42de-b349-67a156fc7aa7,VARIANT,,TRUE,,,,,,200,250,$65 ,2,FALSE,,,MEGA-Z-28G,,,,,,,Weight,TEXT_CHOICES,28g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_574c987a-22b4-42de-b349-67a156fc7aa7,MEDIA,,,,076a10_aab7a279ca8341a98709d300ca2d6d7c~mv2.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1a0b9276-bb75-4d7b-9c02-d9739a555446,PRODUCT,Wagyu,TRUE,"<p><span style=""font-weight: 700"">Genetics</span></p><ul><li><p>Meat Breath</p></li><li><p>Lemon Terdz</p></li></ul><p><span style=""font-weight: 700"">Taste / Aroma</span></p><ul><li><p>Apricot</p></li><li><p>Gasoline</p></li><li><p>Chestnut</p></li></ul><p><span style=""font-weight: 700"">Effects</span></p><ul><li><p>Tingly</p></li><li><p>Relaxed</p></li><li><p>Sleepy</p></li></ul>",,,,Hybrid (Indica Dominant),,,,,,,,,,,,,,,Weight,TEXT_CHOICES,3.5g;7g;14g;28g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1a0b9276-bb75-4d7b-9c02-d9739a555446,VARIANT,,TRUE,,,,,,35,45,$9 ,2,FALSE,,,WAGYU-3.5G,,,,,,,Weight,TEXT_CHOICES,3.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1a0b9276-bb75-4d7b-9c02-d9739a555446,VARIANT,,TRUE,,,,,,65,80,$17 ,0,FALSE,,,WAGYU-7G,,,,,,,Weight,TEXT_CHOICES,7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1a0b9276-bb75-4d7b-9c02-d9739a555446,VARIANT,,TRUE,,,,,,115,140,$33 ,0,FALSE,,,WAGYU-14G,,,,,,,Weight,TEXT_CHOICES,14g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1a0b9276-bb75-4d7b-9c02-d9739a555446,VARIANT,,TRUE,,,,,,200,250,$65 ,2,FALSE,,,WAGYU-28G,,,,,,,Weight,TEXT_CHOICES,28g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1a0b9276-bb75-4d7b-9c02-d9739a555446,MEDIA,,,,076a10_0fa5b4be9f4347dfacaf5571cad77232~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_f511bd98-ec58-4dc9-b57c-9d4e44a8174f,PRODUCT,Zz4,TRUE,"<p><span style=""font-weight: 700"">Genetics</span></p><ul><li><p>Medellin</p></li><li><p>Gorittlez</p></li></ul><p><span style=""font-weight: 700"">Taste / Aroma</span></p><ul><li><p>Berry</p></li><li><p>Woody</p></li><li><p>Diesel</p></li></ul><p><span style=""font-weight: 700"">Effects</span></p><ul><li><p>Energetic</p></li><li><p>Talkative</p></li><li><p>Creative</p></li></ul>",,,,Hybrid (Sativa Dominant),,,,,,,,,,,,,,,Weight,TEXT_CHOICES,3.5g;7g;14g;28g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
